CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U51909DD1999PTC002706,LAXMIKA CONSUMER CARE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,9000000,4400000,07-07-99,Daman and Diu,RoC-Goa,Trading,"OFFICE NO.172, GR FLOOR RAJSHREE ENTERPRISES MOTI KOLIWAD, KANCHIGAM, NANI DAMAN DAMAN Daman and Diu INDIA 396215",Indian Non-Government Company
U31300DD1999PTC002689,PINNACLE REALTY PROJECTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,50000000,1680000,5/18/1999,Daman and Diu,RoC-Goa,Manufacturing (Machinery & Equipments),PLOT NO 668/10(2)SOMNATH KACHIGAM ROAD NEAR DABHEL SUB STATION NANI DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U02627DD1998PTC002627,HOTEL SEA VIEW PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,40000000,32400000,11/19/1998,Daman and Diu,RoC-Goa,NA,TEENBATTI NANI DAMAN DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U36991DD1998PTC002614,CELLO PENS AND STATIONERY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,50000000,50000000,10-12-98,Daman and Diu,RoC-Goa,Manufacturing (Others),"SURVEY NO.66, RINGANWADA DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U74920DD1998PTC002583,COPS PROTECTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,500000,102000,7/30/1998,Daman and Diu,RoC-Goa,Business Services,"OPP BUS STAND, SOMNATH DABHEL, DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U25209DD1997PTC002488,PRINCE MULTIPLAST PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,150000000,92017550,12/15/1997,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",PLOT NO. 668/10(2)SOMNATH KACHIGAM ROAD VILLAGE DABHEL NANI DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U28122DD1997PTC002426,KRUNISH ENGINEERS AND FABRICATORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,500000,440030,8/27/1997,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",PLOT NO 135/136PANCHAL INDUSTRIAL ESTATE BHIMPORE DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U25202DD1997PTC002368,BLOOM INDUSTRIAL PLASTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,500000,100000,6/26/1997,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","BHARAT INDUSTRIAL ESTATE, PLOT NO. 94, BHIMPORE DAMAN DAMAN & DIU Daman and Diu INDIA 396210",Indian Non-Government Company
U32204DD1997PTC002339,SAI TELECOM LIMITED,ACTIVE,Public,Company Limited by Shares,10000000,2540000,05-12-97,Daman and Diu,RoC-Goa,Manufacturing (Machinery & Equipments),"106, AVKAR,ALGANI NAGAR, KALARIA, DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U65923DD1997PLC002316,ASTRONOMICAL FINANCE LIMITED,ACTIVE,Public,Company Limited by Shares,10000000,570000,04-08-97,Daman and Diu,RoC-Goa,Finance,CO DAMODAR THREADS LTD 35DABHIL INDL COOP SOC DABHIL VILLAGE NANI DAMAN DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
