CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U27106GA1992PTC001253,ANAND ROLLING AND FORGINGS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"8,500,000.00","7,500,000.00",13-07-92,Goa,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO. 123 TO 127, BICHOLIM INDUSTRIAL ESTATE, BICHOLIM Goa INDIA 403504",Indian Non-Government Company
U31300GA1992PTC001245,EVEREX STAMPINGS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"800,000.00","800,000.00",16-06-92,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),FFO 2A RANI PRAMILA BUILDING18TH JUNE ROAD PANAJI GOA Goa INDIA 403001,Indian Non-Government Company
U45201GA1992PTC001242,NUNES CONSTRUCTION PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","2,000.00",15-06-92,Goa,RoC-Goa,Construction,36 2 LUIS MENEZESROAD BEHIND H P O PANAJI GOA Goa INDIA 403001,Indian Non-Government Company
U74950GA1992PTC001218,GOA PACKAGING PRODUCTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",18-03-92,Goa,RoC-Goa,Business Services,LAXMI APARTMENTSBORDA MARGAO GOA Goa INDIA 403601,Indian Non-Government Company
U70101GA1992PTC001198,ASIATIC ESTATE DEVELOPMENTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"10,000,000.00","100,000.00",14-02-92,Goa,RoC-Goa,Real Estate and Renting,1ST FLOOR CAMILA BLDG OPPOLD BUS STAND PANAJI Goa INDIA 403001,Indian Non-Government Company
U55101GA1992PTC001195,TRIVENIS HOTELS AND HOLIDAY HOMES PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,600,000.00","460,000.00",22-01-92,Goa,RoC-Goa,Trading,C1GULMOHAR APARTMENT CARANZALEM GOA Goa INDIA,Indian Non-Government Company
U74140GA1992PTC001190,POY BUSINESS CENTRE PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00",200,13-01-92,Goa,RoC-Goa,Business Services,ABADE FARIA ROAD MARGAO Goa INDIA 403601,Indian Non-Government Company
U21014GA1992PLC001189,SAGUN EXTRUSIONS LIMITED,DORMANT,Public,Company Limited by Shares,"10,000,000.00","1,250,000.00",13-01-92,Goa,RoC-Goa,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",PLOT NO 2TIVIM INDUSTRIAL ESTATE KARASWADA MAPUSA GOA Goa INDIA,Indian Non-Government Company
U20299GA1991PTC001184,HONDA TREAT WOOD PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","100,000.00",26-12-91,Goa,RoC-Goa,Manufacturing (Wood Products),HOUSE NO. 11VALPOI VALPOI GOA Goa INDIA,Indian Non-Government Company
U32102GA1991PTC001173,ELECONIC CONDENSERS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"2,500,000.00","2,078,000.00",04-11-91,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),"14, CORLIM INDUSTRIAL ESTATE,CORLIM ILHAS Goa INDIA 403110",Indian Non-Government Company
L24239GA1991PLC001163,I F G LIMITED,DORMANT,Public,Company Limited by Shares,"90,000,000.00","80,270,000.00",09-10-91,Goa,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.11, PILERNE INDUSTRIAL ESTATE BARDEZ GOA Goa INDIA 403511",Indian Non-Government Company
U31200GA1991PTC001157,SLICER GRINDING WHEELS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"300,000.00",NA,04-09-91,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),D3-7 TUEM INDUSTRIALESTATE TUEM Goa INDIA,Indian Non-Government Company
U35111GA1991PTC001149,JALSAN TRADING AND SHIPPING COMPANY PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","624,000.00",07-08-91,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),LOTLIKAR HOUSESWATANTRA PATH VASCO-DA-GAMA Goa INDIA 403802,Indian Non-Government Company
U65921GA1991PTC001131,GOA MULTIPLUS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"20,000,000.00","2,001,000.00",16-05-91,Goa,RoC-Goa,Finance,4TH FLOORCITI CENTRE PANAJI GOA Goa INDIA 403001,Indian Non-Government Company
U92413GA1991PTC001128,HYDRO SPORTS (GOA) PRIVATE LIMITED.,DORMANT,Private,Company Limited by Shares,"1,000,000.00","932,000.00",01-05-91,Goa,RoC-Goa,"Community, personal & Social Services","IT-3, KAMAT COMPLEX, PANAJI GOA Goa INDIA 403002",Indian Non-Government Company
U29304GA1991PTC001120,CROWN TECHNO APPLIANCES PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","400,200.00",14-03-91,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),"D2/18, Sancoale Industrial Estate Zuarinagar Zuarinagar Goa INDIA 403726",Indian Non-Government Company
U31905GA1991PTC001106,TRIMARAN INDIA PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","2,000.00",08-01-91,Goa,RoC-Goa,Manufacturing (Machinery & Equipments),"AL-6 ALFRAN PLAZA, 4TH FLOOR, MEZZANINE NEAR DON BOSCO SCHOOL PANJIM Goa INDIA 400301",Indian Non-Government Company
U45201GA1990PTC001094,KOSHY BUILDERS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"200,000.00","51,000.00",09-11-90,Goa,RoC-Goa,Construction,KOSHY CHAMBERSOPP KADAMBA BUS STAND VASCO DA GAMA GOA Goa INDIA 403802,Indian Non-Government Company
