CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U74140JH2006PTC012375,CARE DESK CONSULTANT PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"50,000,000.00","500,000.00",05-05-06,Jharkhand,RoC-Jharkhand,Business Services,VAIBHAV HOTEL COMPLEXBY PASS ROAD B S CITY CHAS Jharkhand INDIA 827001,Indian Non-Government Company
U15312JH2006PTC012325,PURBI RICE MILL PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","200,000.00",21-04-06,Jharkhand,RoC-Jharkhand,Manufacturing (Food stuffs),2 SATADRU ROAD VIDYASAGAR PALLY PARSUDIH JAMSHEDPUR Jharkhand INDIA 831001,Indian Non-Government Company
U51109JH2006PTC012314,KRITIKA SALES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",19-04-06,Jharkhand,RoC-Jharkhand,Trading,3/B SUBHASH COLONYDIMNA ROAD MANGO JAMSHEDPUR Jharkhand INDIA 831012,Indian Non-Government Company
U51109JH2006PTC012313,LOYALIAN MANACEMENT SERVICES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","200,000.00",18-04-06,Jharkhand,RoC-Jharkhand,Trading,SARLA SADANB / 103 HARMU HOUSING COLONY RANCHI Jharkhand INDIA 834012,Indian Non-Government Company
U27310JH2000PTC009106,SAGAR MINIATURE STEEL CONSULTANTS & CONTRACTORS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","3,000.00",10-01-00,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)","P.O.+ P.S- ADITYAPUR,JAMSHEDPUR JAMSHEDPUR Jharkhand INDIA",Indian Non-Government Company
U55100JH2000PTC009103,BHAGAWATI HOTEL PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","40,000.00",07-01-00,Jharkhand,RoC-Jharkhand,Trading,"VILL+POST-BILASPUR,THANA- HAIDAR NAGAR PALAMU PALAMU Jharkhand INDIA",Indian Non-Government Company
U45200JH1999PTC009053,SUN-MARS CONSTRUCTIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","5,000.00",30-11-99,Jharkhand,RoC-Jharkhand,Construction,"INDRA PALACE,MAIN ROAD,HINOO,RANCHI-834001 RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U45202JH1999PTC009046,VANANCHAL CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","280,000.00",19-11-99,Jharkhand,RoC-Jharkhand,Construction,"P.P. PATH (NEW AREA) GANDHINAGAR,KANKE ROAD RANCHI-834008 NAGAR,KANKE ROAD,RANCHI Jharkhand INDIA 834008",Indian Non-Government Company
U00500JH1999PTC008893,SHAMSUZOHA CONSTRUCTIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",06-07-99,Jharkhand,RoC-Jharkhand,NA,"THANA ROAD,DIST- GUMLA GUMLA Jharkhand INDIA",Indian Non-Government Company
U24220JH1999PLC008888,CITO & PRIMO CHEMICAL INDUSTRY LIMITED,STRIKE OFF,Public,Company Limited by Shares,"2,500,000.00","500,000.00",30-06-99,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)","VILLAGE -GERUA,BEHIND S.R.G.IRON PRIVATE LIMITED PO MANGOP.S.-M.G.M. JAMSEDHPUR SINGHBHUM EAST Jharkhand INDIA 831012",Indian Non-Government Company
