CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U70200AN2013PTC000200,SALCON INFRA ENGINEERING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","5,000,000.00",28-06-13,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,NO. 6 DESH MESH MARKET PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U45400AN2013PTC000195,P.G EAPPEN CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",05-06-13,Andaman and Nicobar Islands,RoC-Chennai,Construction,ROOM NO. 5 GROUND FLOOR MARTHOMA CHURCH COMPLEX GOALGHAR PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U74900AN2013PTC000205,NELLAIH FEEDS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","800,000.00",31-07-13,Andaman and Nicobar Islands,RoC-Chennai,Business Services,NO.33 SISTY NAGAR ABERDEEN VILLAGE PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U50404AN2013PTC000206,GOVINDAMMA TRADING CO PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",13-08-13,Andaman and Nicobar Islands,RoC-Chennai,Trading,"19, Phonix Bay South Andaman Port Blair Andaman and Nicobar Islands INDIA 744102",Indian Non-Government Company
U45208AN2013PLC000202,ANID PROJECTS LIMITED,ACTIVE,Public,Company Limited by Shares,"500,000.00","500,000.00",26-07-13,Andaman and Nicobar Islands,RoC-Chennai,Construction,GOAL GHAR PORT BLAIR Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U70200AN2013PTC000211,Z KING GLOBAL REAL ESTATE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",24-09-13,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,C-38 MANPUR FERRARGUNG Andaman and Nicobar Islands INDIA 744104,Indian Non-Government Company
U45400AN2013PTC000214,A T SHANMUGAM CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",18-11-13,Andaman and Nicobar Islands,RoC-Chennai,Construction,"NO. II/05 RANGAT II, RANGAT NORTH AND MIDDLE ANDAMAN Andaman and Nicobar Islands INDIA 744205",Indian Non-Government Company
U93000AN2013PTC000208,ANDAMAN SEA KING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",06-09-13,Andaman and Nicobar Islands,RoC-Chennai,"Community, personal & Social Services","MESHACK MARKET, 2ND FLOOR ABERDEEN BAZAR PORT BLAIR Andaman and Nicobar Islands INDIA 744101",Indian Non-Government Company
U45400AN2013PTC000203,TEJA PROJECTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",29-07-13,Andaman and Nicobar Islands,RoC-Chennai,Construction,SBM COMPLEX ATR ROAD SHOP NO. 09 RANGAT Andaman and Nicobar Islands INDIA 744205,Indian Non-Government Company
U45201AN2013PTC000204,ISLAND REALCON INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",31-07-13,Andaman and Nicobar Islands,RoC-Chennai,Construction,SHOP NO 3 GANDHI BHAVAN PHONEIX BAY PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U93000AN2013PTC000210,ORCHESTRATE HOLIDAY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",16-09-13,Andaman and Nicobar Islands,RoC-Chennai,"Community, personal & Social Services",125 MG ROAD GOALGHAR PORT BLAIR Andaman and Nicobar Islands INDIA 744103,Indian Non-Government Company
U70200AN2013PTC000207,JAYA REALTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","150,000.00",22-08-13,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U67190AN2013PLC000209,ANDAMAN & NICOBAR MICRO FINANCE CONSULTANCY LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","10,000,000.00",16-09-13,Andaman and Nicobar Islands,RoC-Chennai,Finance,"1, SUBHAS BAZAR MARKET COMPLEX, ROOM NO. 3 1ST FLOOR, DIGLIPUR, NORTH ANDAMAN ANDAMAN Andaman and Nicobar Islands INDIA 744202",Indian Non-Government Company
U15500AN2013PTC000213,CALCUTTA FOOD AND BOTTLING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",13-11-13,Andaman and Nicobar Islands,RoC-Chennai,Manufacturing (Food stuffs),ABERDEEN BAZAAR PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U72900AN2013PTC000212,TOTTOCRAFT TECHNOLOGIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",27-09-13,Andaman and Nicobar Islands,RoC-Chennai,Business Services,"Binu Pappan Building, 1st Floor FS - 2,Rich Street Near Loknath Mandir, Dollygunj Port Blair, South Andaman Andaman and Nicobar Islands INDIA 744103",Indian Non-Government Company
U55101AN2014PTC000215,FALCON RESORT (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","8,980,000.00",25-02-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,"72 R P ROAD, NEAR DIGNABAD SCHOOL DIGNABAD, UNDER PORT BLAIR TEHSIL PORT BLAIR Andaman and Nicobar Islands INDIA 744101",Indian Non-Government Company
U74999AN2014PTC000221,DAAM UDYOG INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",27-03-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,MIDDLE POINT PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U55101AN2014PTC000217,JADWET RESORTS AND LEISURE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","200,000.00",07-03-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,ABERDEEN BAZAR PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U74900AN2014PTC000222,PETROFICIENT ENGINEERING SOLUTIONS LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",28-03-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,"MB-16, Babu Lane, Aberdeen (P.O), Andamans, Nicobar Islands Andaman and Nicobar Islands INDIA 744104",Indian Non-Government Company
U85193AN2014PTC000216,WELLCARE AYURVEDALAYAM (ANDAMAN) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","1,000,000.00",28-02-14,Andaman and Nicobar Islands,RoC-Chennai,"Community, personal & Social Services",WELCARE AYURVEDIC HOSPITAL BUILDING RGT ROAD PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U74900AN2014PTC000219,ABLE TOURISM (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",18-03-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,M.B 210 SHADIPUR PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U45201AN2014PTC000218,ARUL EARTH MOVERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","100,000.00",10-03-14,Andaman and Nicobar Islands,RoC-Chennai,Construction,BIMBLITAN GARACHARMA PORT BLAIR Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U51909AN2014PTC000220,SAKTHI HARDWARES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","5,000,000.00",24-03-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,NO. 198 M.G ROAD JUNGLIGHAT PORT BLAIR Andaman and Nicobar Islands INDIA 744103,Indian Non-Government Company
U74900AN2014PTC000223,NANDA AGENCY HOUSE SHIPPING SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","100,000.00",05-06-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,"171, Aberdeen Bazaar, Port Blair Andaman and Nicobar Islands INDIA 744104",Indian Non-Government Company
U45202AN2014PTC000224,MANICKAM PROJECTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","150,000.00",09-07-14,Andaman and Nicobar Islands,RoC-Chennai,Construction,"NO. 16 H.C ROAD HORTICULTURE ROAD, HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744102",Indian Non-Government Company
U70101AN2014PTC000225,SKIER PROPERTIES DEVELOPER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",15-07-14,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,BURMANALLA BIMILITAN P.O PORT BLAIR Andaman and Nicobar Islands INDIA 744105,Indian Non-Government Company
U63040AN2014PTC000226,GLOBUS AVIATION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",21-07-14,Andaman and Nicobar Islands,RoC-Chennai,"Transport, storage and Communications",JN ROAD HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U70102AN2014PTC000229,MOHAN SINGH INFRASTRUCTURE(INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",08-08-14,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,SHOP NO 2 JN ROAD HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U65993AN2014PTC000231,ANDAMAN & NICOBAR FINANCE & INVESTMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",28-08-14,Andaman and Nicobar Islands,RoC-Chennai,Finance,"1, SUBHABAZAR MARKET COMPLEX ROOM NO. 3, 1ST FLOOR, DIGLIPUR NORTH ANDAMAN DIGLIPUR Andaman and Nicobar Islands INDIA 744202",Indian Non-Government Company
U74900AN2014PTC000230,OCEAN REEFS (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","600,000.00",22-08-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,"Shop No-5/1/2, Survey No-59/11 Gurudwara Lane, Ward No-14 Port Blair Andaman and Nicobar Islands INDIA 744101",Indian Non-Government Company
U70101AN2014PTC000228,LOKENATH INFRA DEVELOPER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",06-08-14,Andaman and Nicobar Islands,RoC-Chennai,Real Estate and Renting,"Survey No-78, C-58 Phoenix Bay, Ward No-6 Port Blair Andaman and Nicobar Islands INDIA 744102",Indian Non-Government Company
U52390AN2014PTC000232,S.L ENTERPRISES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","800,000.00",09-09-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,PROTHRAPUR PORT BLAIR Andaman and Nicobar Islands INDIA 744104,Indian Non-Government Company
U55101AN2014PTC000233,MANSHA HOSPITALITIES AND SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","100,000.00",23-10-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,"FORESHORE ROAD, HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744102",Indian Non-Government Company
U05000AN2014PTC000234,GATEWAY FISHING & LOGISTICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",31-10-14,Andaman and Nicobar Islands,RoC-Chennai,Agriculture and Allied Activities,JN ROAD HADDO PORT BLAIR Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U55209AN2014PTC000235,SEA STAR BEACH RESORT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",25-11-14,Andaman and Nicobar Islands,RoC-Chennai,Trading,"LAXMANPUR, NEIL ISLAND NEIL ISLAND Andaman and Nicobar Islands INDIA 744104",Indian Non-Government Company
U74999AN2014PTC000240,MU STUDIOS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","600,000.00",24-12-14,Andaman and Nicobar Islands,RoC-Chennai,Business Services,Near Machi Line Village South Point Port Blair Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U61100AN2014PTC000237,GREEN OCEAN SEAWAYS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","1,800,000.00",13-12-14,Andaman and Nicobar Islands,RoC-Chennai,"Transport, storage and Communications","NAYAAB OPP: ABC COLONY, SHADIPUR PORT BLAIR Andaman and Nicobar Islands INDIA 744106",Indian Non-Government Company
U01400AN2014PTC000238,ANDAMAN COCONUT AND AGRI PRODUCTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","200,000.00",18-12-14,Andaman and Nicobar Islands,RoC-Chennai,Agriculture and Allied Activities,"Survey No. 594, Near Range Office, Bathubasti Port Blair Andaman and Nicobar Islands INDIA 744105",Indian Non-Government Company
