CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U01400ML2009NPL008359,LIVELIHOOD IMPROVEMENT FINANCE COMPANY OF MEGHALAYA,ACTIVE,Public,Company Limited by Shares,"160,000,000.00","20,000,000.00",27-05-09,Meghalaya,RoC-Shillong,Agriculture and Allied Activities,LOWER CLEVE COLONY NEAR DIRECTORATE OF AGRICULTURE COMPLEX SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U74140ML2009PTC008364,SHUK ENGINEERING CONSULTANCY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",23-06-09,Meghalaya,RoC-Shillong,Business Services,C/O SHRI CYPRIAN MADUR MAWKYNROH - UMSHING SHILLONG Meghalaya INDIA 793022,Indian Non-Government Company
U27109ML2009PLC008371,NEZONE PIPES & STRUCTURES LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000.00","500,000.00",26-08-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","Farndale Apartments, Flat No. S-302 M.G. Road Shillong Meghalaya INDIA 793001",Indian Non-Government Company
U70100ML2009PTC008365,CMJ REALTORS & DEVELOPERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","430,000.00",24-06-09,Meghalaya,RoC-Shillong,Real Estate and Renting,"FERNDALE COMPLEX, BLOCK-III CMJ HOUSE, KEATING ROAD SHILLONG Meghalaya INDIA 793001",Indian Non-Government Company
U80302ML2009PTC008363,GREEN SPADES AVIATION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","150,000.00",23-06-09,Meghalaya,RoC-Shillong,"Community, personal & Social Services","LUMMAWBAH, BLOCK-1, UPPER SHILLONG SHILLONG Meghalaya INDIA 793005",Indian Non-Government Company
U10101ML2009PTC008383,RIBHOI MINING & MINERALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",14-10-09,Meghalaya,RoC-Shillong,Mining & Quarrying,"PLOT NO.-19,23 EPIP ZONE RAJABAGAN BYRNIHAT BYRNIHAT Meghalaya INDIA 793101",Indian Non-Government Company
U26940ML2009PTC008375,SURYANSH CEMENT AND POWER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",14-09-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",C/O Honsen Lyngdoh Engineering Mawiongrim Mawlai Meghalaya INDIA 793017,Indian Non-Government Company
U45400ML2009PTC008368,JOPLANG CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","200,000.00",30-07-09,Meghalaya,RoC-Shillong,Construction,UMTYRNGA P.O PILLANGKATA UMTYRNGA Meghalaya INDIA 793101,Indian Non-Government Company
U29268ML2009PLC008367,ACME HOUSEHOLD APPLIANCES LIMITED,STRIKE OFF,Public,Company Limited by Shares,"1,000,000.00","500,000.00",28-07-09,Meghalaya,RoC-Shillong,Manufacturing (Machinery & Equipments),OPP - GEOLOGICAL SURVEY OF INDIA NEAR N. E. C. OFFICE NONGRIM HILLS SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U92412ML2009PTC008369,SHILLONG LAJONG FOOTBALL CLUB PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"65,000,000.00","49,993,700.00",30-07-09,Meghalaya,RoC-Shillong,"Community, personal & Social Services",HOTEL CENTRE POINT BUILDING POLICE BAZAR SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U26940ML2009PTC008372,SOHRA CEMENT PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",27-08-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","MODRINA MANSION, LAITUMKHRAH MAIN ROAD, SHILLONG Meghalaya INDIA 793003",Indian Non-Government Company
U80902ML2009PTC008370,GOLDERS GREEN INSTITUTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","851,000.00",14-08-09,Meghalaya,RoC-Shillong,"Community, personal & Social Services","FERNDALE COMPLEX, BLOCK-III KEATING ROAD SHILLONG Meghalaya INDIA 793001",Indian Non-Government Company
U51909ML2009PTC008373,MEGHALAYA STONES & COAL PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","150,000.00",31-08-09,Meghalaya,RoC-Shillong,Trading,"C/O. DR. L. N.CHINTEY, LOWER NONGRIM HILLS GORA LINE, LAITUMKHRAH SHILLONG Meghalaya INDIA 793003",Indian Non-Government Company
U40101ML2009SGC008374,MEGHALAYA ENERGY CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000,000.00","7,685,484,580.00",14-09-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies",LUM JINGSHAI SHORT ROUND ROAD Shillong Meghalaya INDIA 793001,State Government Company
U15311ML2009PTC008379,HUNLANG FOODS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"10,000,000.00","100,000.00",05-10-09,Meghalaya,RoC-Shillong,Manufacturing (Food stuffs),"HUNLANG FOODS PRIVATE LIMITED BAWRI MANSIONS, DHANKHETI SHILLONG Meghalaya INDIA 793001",Indian Non-Government Company
U40109ML2009PTC008377,UNITECH ENERGY & CEMENT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",23-09-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies","C/O. A. DHAR, LAPUBAN BUILDING, KENCH'S TRACE, SHILLONG Meghalaya INDIA 793004",Indian Non-Government Company
U40109ML2009PTC008376,DLF (NORTH EAST) ENERGY & CEMENT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",23-09-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies","C/O A. DHAR, LAPUBAN BUILDING, KENCH'S TRACE SHILLONG SHILLONG Meghalaya INDIA 793004",Indian Non-Government Company
U01403ML2009PTC008385,RIBHOI FARMING AND FOOD PRODUCTS INDIA PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","380,000.00",15-10-09,Meghalaya,RoC-Shillong,Agriculture and Allied Activities,"PAHAMSYIEM, MARNGAR, NONGPOH Meghalaya INDIA 793102",Indian Non-Government Company
U10101ML2009PTC008382,WEST KHASHI MINERALS & MINING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",14-10-09,Meghalaya,RoC-Shillong,Mining & Quarrying,"PLOT NO.-19,23 EPIP ZONE RAJABAGAN BYRNIHAT BYRNIHAT Meghalaya INDIA 793101",Indian Non-Government Company
U26940ML2009PTC008378,TISSA CEMENTS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"10,000,000.00","100,000.00",05-10-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",C/O DIKKANCHI DALBOT SHIRA MEHNDI PATHAR Meghalaya INDIA 794112,Indian Non-Government Company
U50500ML2009PTC008380,MARWET OIL SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","1,908,750.00",12-10-09,Meghalaya,RoC-Shillong,Trading,"9TH MILE, BARIDUA RAID MARWET (ON NH-37) KHANAPARA Meghalaya INDIA 793101",Indian Non-Government Company
U26940ML2009PLC008381,JAI UMADUTT CEMENT LIMITED,ACTIVE,Public,Company Limited by Shares,"12,000,000.00","11,200,000.00",12-10-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",HANUMANBUX UMADUTT POLICE BAZAR SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U26940ML2009PLC008384,CG CEMENTS COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","500,000.00",15-10-09,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","C/o. Vishal Hardware, 29 Cantonment Goenka Market (Near Central Bank) Shillong Meghalaya INDIA 793002",Indian Non-Government Company
U93090ML2009PTC008386,LYNGDOH TRADELINKS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",09-11-09,Meghalaya,RoC-Shillong,"Community, personal & Social Services","TAYSIDE, DHANKHETI SHILLONG Meghalaya INDIA 793001",Indian Non-Government Company
U10100ML2009PTC008387,N E MINING & CONSTRUCTION PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",19-11-09,Meghalaya,RoC-Shillong,Mining & Quarrying,"C/O TLIBON LYNGDOH NONGRAH, NONGPDENG SHILLONG Meghalaya INDIA 793006",Indian Non-Government Company
U40101ML2009PLC008391,BRIJRAJ POWER & METALLICS LIMITED,ACTIVE,Public,Company Limited by Shares,"22,000,000.00","21,950,000.00",11-12-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies",KHARBAMON LUMMOWRIE MAIN ROAD SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U45203ML2009PTC008389,MEGHA INFRACON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","697,500.00",26-11-09,Meghalaya,RoC-Shillong,Construction,"340, NONGRIMBAH EAST KHASI HILLS, LAITUMKHRAH SHILLONG Meghalaya INDIA 793003",Indian Non-Government Company
U55101ML2009PTC008388,ROYALE HOSPITALITIES AND DELICACIES PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",20-11-09,Meghalaya,RoC-Shillong,Trading,C/O N L DEB JAIL ROAD OPP OLD SMB OFFICE SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U45203ML2009PTC008390,SERENDIPITY INFRACON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","1,968,700.00",26-11-09,Meghalaya,RoC-Shillong,Construction,QUEEN VILLA HARISAVA LABAN SHILLONG Meghalaya INDIA 793004,Indian Non-Government Company
U40101ML2009SGC008392,MEGHALAYA POWER GENERATION CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000,000.00","500,000.00",18-12-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies",LUM JINGSHAI SHORT ROUND ROAD Shillong Meghalaya INDIA 793001,State Government Company
U40101ML2009SGC008394,MEGHALAYA POWER DISTRIBUTION CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"2,000,000,000.00","500,000.00",18-12-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies",LUM JINGSHAI SHORT ROUND ROAD Shillong Meghalaya INDIA 793001,State Government Company
U40101ML2009SGC008393,MEGHALAYA POWER TRANSMISSION CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000,000.00","500,000.00",18-12-09,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies",LUM JINGSHAI SHORT ROUND ROAD Shillong Meghalaya INDIA 793001,State Government Company
U26940ML2010PLC008398,VALLEY STRONG CEMENTS LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000.00","500,000.00",09-02-10,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","VILLAGE LUMSHNONG, KHLIEHRIAT Meghalaya INDIA 793200",Indian Non-Government Company
U85110ML2010PLC008395,MEGHALAYA HEALTH CARE SERVICES LIMITED,ACTIVE,Public,Company Limited by Shares,"2,500,000.00","560,000.00",06-01-10,Meghalaya,RoC-Shillong,"Community, personal & Social Services",KHARBAMON LUMMAWRIE MAIN ROAD SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U74210ML2010PTC008397,PURPLE ARCHITECTURE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",09-02-10,Meghalaya,RoC-Shillong,Business Services,C/O SUSAN BUDNAH DHANKHETI BEHIND BAREH COMPLEX SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U85110ML2010PTC008401,EMERENCIA KIEM PYNGROPE MEMORIAL HOSPITAL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","110,000.00",22-02-10,Meghalaya,RoC-Shillong,"Community, personal & Social Services","HOSANA, POHKSEH P.O RYNJAH SHILLONG Meghalaya INDIA 793006",Indian Non-Government Company
U74900ML2010PTC008402,QUADRI GREEN TECH VENTURE PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",23-02-10,Meghalaya,RoC-Shillong,Business Services,"MAWTNUM, P.O. NONGPOH NONGPOH Meghalaya INDIA 793102",Indian Non-Government Company
U26940ML2010PTC008404,MAX CEMENT INDUSTRIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","100,000.00",29-03-10,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","K L Complex, Opposite - Neep Co. Maccabe Road, Demseiniong Shillong Meghalaya INDIA 793011",Indian Non-Government Company
U55101ML2010PTC008396,OAKTREE INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","300,000.00",03-02-10,Meghalaya,RoC-Shillong,Trading,OPP PINEMOUNT SCHOOL BRIGHTWAY ROAD E.K.HILLS SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U45201ML2010PTC008399,SORA INFRASTRUCTURE PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",10-02-10,Meghalaya,RoC-Shillong,Construction,VILL. DAKOPGRE P.O. TURA TURA Meghalaya INDIA 794001,Indian Non-Government Company
U14200ML2010PTC008405,SURYANSH MINERALS & METALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","200,000.00",31-03-10,Meghalaya,RoC-Shillong,Mining & Quarrying,C/O Honsen Lyngdoh Engineering Mawiongrim Mawlai Meghalaya INDIA 793017,Indian Non-Government Company
U15500ML2010PTC008400,MAKHAN BHOG VENTURES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","100,000.00",12-02-10,Meghalaya,RoC-Shillong,Manufacturing (Food stuffs),16 MILE G S ROAD BYRNIHAT Meghalaya INDIA 793101,Indian Non-Government Company
U10200ML2010PTC008418,MEGHALAYA MAHACOL MINERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","100,000.00",01-07-10,Meghalaya,RoC-Shillong,Mining & Quarrying,DMR'S CAMPUS RISA COLONY SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U55101ML2010PTC008403,SUNNY BROOKE HOTELS & RESORTS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","200,000.00",24-03-10,Meghalaya,RoC-Shillong,Trading,16 NONGSHILIANG (WEST) SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U10102ML2010PTC008406,PHILIP RYMBAI MINING & TRADERS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",13-04-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"NEAR: YMCA, UMSOHSUN MAWKHAR POINT, EAST KHASI HILLS SHILLONG Meghalaya INDIA 793001",Indian Non-Government Company
U93000ML2010PTC008409,PESA SECURITY SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","150,000.00",05-05-10,Meghalaya,RoC-Shillong,"Community, personal & Social Services","GRACE HOME, DEMSEINIONG,NEAR SIGNAL GATE, MCCABLE ROAD, LAITUMKHRAH SHILLONG Meghalaya INDIA 793011",Indian Non-Government Company
U74140ML2010PTC008407,D D FINANCIAL CONSULTANCY SERVICES PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",23-04-10,Meghalaya,RoC-Shillong,Business Services,"C/O M.R. DAS, UPLAND ROAD, LAITUMKHRAH SHILLONG Meghalaya INDIA 793003",Indian Non-Government Company
U26940ML2010PLC008408,MUSTOH CEMENT LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000.00","500,000.00",03-05-10,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","Village Mustoh B.P.O. Laithynsew, P.S. Shella, Meghalaya Meghalaya INDIA 793108",Indian Non-Government Company
U13200ML2010PTC008411,TRANSWORLD STEELS & MINES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","100,000.00",28-05-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"METCO 26A, CANTONMENT, G.S. ROAD SHILLONG Meghalaya INDIA 793002",Indian Non-Government Company
U40101ML2010PTC008410,JRT POWER PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",24-05-10,Meghalaya,RoC-Shillong,"Electricity, Gas & Water companies","C/O KIDS CARE, UPPER NEW COLONY LAITUMKHRAH SHILLONG Meghalaya INDIA 793003",Indian Non-Government Company
U14200ML2010PTC008421,MEGHA MINES & MINERALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","150,000.00",13-07-10,Meghalaya,RoC-Shillong,Mining & Quarrying,KHARBAMON HOUSE LUMMAWRIE MAIN ROAD SHILLONG Meghalaya INDIA 793003,Indian Non-Government Company
U15122ML2010PTC008413,ORION HEALTH FOODS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","570,000.00",10-06-10,Meghalaya,RoC-Shillong,Manufacturing (Food stuffs),C/O MEGHALAYA ELECTRICALS G.S. ROAD SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U51909ML2010PTC008412,HDJ TELECOM PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","450,000.00",28-05-10,Meghalaya,RoC-Shillong,Trading,MAWKHAR MAIN ROAD BARA BAZAR SHILLONG Meghalaya INDIA 793002,Indian Non-Government Company
U14200ML2010PTC008415,HILLS TRADE LINK PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","200,000.00",22-06-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"NONGHYLLAM, LANGRIN SYIEMSHIP P.O BORSORA NONGHYLLAM Meghalaya INDIA 793106",Indian Non-Government Company
U55101ML2010PTC008414,KV HOLIDAY RESORT PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",22-06-10,Meghalaya,RoC-Shillong,Trading,C/O - HOTEL BLUE MOUNT POLICE BAZAR SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
U74900ML2010PTC008420,UTKARSA TECHNICAL SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",09-07-10,Meghalaya,RoC-Shillong,Business Services,"Ferndille Apartment Flat No: 204, West Block, M.G.Road, IGP Point Shillong Meghalaya INDIA 793001",Indian Non-Government Company
U29248ML2010PTC008426,PODDER & PODDER INDUSTRIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","200,000.00",16-08-10,Meghalaya,RoC-Shillong,Manufacturing (Machinery & Equipments),"C/O HALCON & SONS FURNITURE MADANRITING, LUMDEMTHRING, SHILLONG Meghalaya INDIA 793021",Indian Non-Government Company
U13209ML2010PTC008419,ADELIKA INFRASTRUCTURE & MINERALS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",09-07-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"Ferndille Apartment Flat No: 204, West Block, M.G. Road, IGP Point Shillong Meghalaya INDIA 793001",Indian Non-Government Company
U13209ML2010PLC008427,ITCOL HYDROCARBON LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","1,705,000.00",18-08-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"Ground Floor, Belbue Mansion, Opp. Clinical Research Unit, Malki Dhankheti Shillong Meghalaya INDIA 793001",Indian Non-Government Company
U14200ML2010PTC008424,RASHI STONES PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",04-08-10,Meghalaya,RoC-Shillong,Mining & Quarrying,"PATTA NO.3, BARAPATHAR PILLINGKATA NONGPOH Meghalaya INDIA 793101",Indian Non-Government Company
