CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U74120CT2013PTC001185,VIVO ACCOUNTING SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",16-12-13,Chhattisgarh,RoC-Chhattisgarh,Business Services,40 NAGAR NIGAM COLONY NEAR AGRASEN CHOWK RAIPUR Chhattisgarh INDIA 492001,Indian Non-Government Company
U52100CT2013PTC001152,SAHELI GEMS & JEWELLERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","14,600,000.00",28-11-13,Chhattisgarh,RoC-Chhattisgarh,Trading,"BLOCK- E. R., PLOT NO.- 18 & 19, JAWAHAR MARKET, CAMP-2, BHILAI Chhattisgarh INDIA 490001",Indian Non-Government Company
U15326CT2013PTC001144,NUTREE VEGOILS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",20-11-13,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Food stuffs),"Station Road, Mahasamund Dist- Mahasamund, Chattisgarh Mahasamund Chhattisgarh INDIA 493445",Indian Non-Government Company
U28112CT2013PTC001148,BP ACTIVE ENGICON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","400,000.00",21-11-13,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)",KAILASH NAGAR BIRGAON RAIPUR Chhattisgarh INDIA 493221,Indian Non-Government Company
U63040CT2013PTC001193,VEDANTA WASHERY AND LOGISTIC SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","9,000,000.00",20-12-13,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",KOTRA ROAD QTR NO. 64 RAIGARH Chhattisgarh INDIA 496001,Indian Non-Government Company
U45400CT2013PTC001151,CHIRANJEEVINI REALCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","600,000.00",28-11-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"A-01, RAMA LIFE CITY SAKRI BILASPUR Chhattisgarh INDIA 495001",Indian Non-Government Company
U92490CT2013PTC001138,SQUAREFEET WORKPLACE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",14-11-13,Chhattisgarh,RoC-Chhattisgarh,"Community, personal & Social Services","Block No. 11, Plot No. 10, Sub Plot No. 32, Civil Lines Raipur Chhattisgarh INDIA 492001",Indian Non-Government Company
U45200CT2013PTC001139,NAVNIRMAN MEGA DEVCON INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",14-11-13,Chhattisgarh,RoC-Chhattisgarh,Construction,PLY PALACE GURU GHASI DAS PALZA AMAPARA G.E.ROAD RAIPUR Chhattisgarh INDIA 492001,Indian Non-Government Company
U24239CT2013PTC001131,CHEIRON BIOTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",31-10-13,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)","HOUSE NO. C-98 AKANKSHA KUNJ, RISALI BHILAI Chhattisgarh INDIA 490006",Indian Non-Government Company
U70109CT2013PTC001169,PEOPLETRUST BUILDCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",04-12-13,Chhattisgarh,RoC-Chhattisgarh,Real Estate and Renting,"F/578, Zone-1 VYAPAR VIHAR BILASPUR Chhattisgarh INDIA 495001",Indian Non-Government Company
