CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45201TR2008PTC008253,POLAR PROJECT CONSTRUCTION COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",NA,18-11-08,Tripura,RoC-Shillong,Construction,"55, KSHIRODE SEN LANE SUB DIVISION- SADAR AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U63040TR2009PTC008255,TRIPURA TOUR PACKAGES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","367,000.00",15-01-09,Tripura,RoC-Shillong,"Transport, storage and Communications",NARAURA P. O. & P. S. - BISHALGARH BISHALGARH Tripura INDIA 799102,Indian Non-Government Company
U45201TR2009PTC008256,JIBAN KUMAR SAHA CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","900,000.00",17-02-09,Tripura,RoC-Shillong,Construction,C/O MR. SEKHAR CHANDRA PODDER JOYNAGAR LANE NO 3 AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U51909TR2009PTC008257,TRDP NETWORK MARKETING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",13-03-09,Tripura,RoC-Shillong,Trading,"NIMBARK ONGC BANK, CHOWMUHANI, A. B. ROAD AGARTALA Tripura INDIA 799014",Indian Non-Government Company
U51909TR2009PTC008261,AGARTALA STEEL TRADERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","1,600,000.00",06-05-09,Tripura,RoC-Shillong,Trading,"C/O LAXMI IRON STORES 22, AKHAURA ROAD AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U72900TR2009PTC008259,SEN SOFTWARE SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","150,000.00",27-03-09,Tripura,RoC-Shillong,Business Services,LAXMI NARAYAN BARI ROAD AGARTALA AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U55101TR2009PTC008258,ANAGHA HOTELS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",24-03-09,Tripura,RoC-Shillong,Trading,"SANTIPARA EAST SIDE, AGARTALA AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U72200TR2009PTC008260,INSYSD TECHNOLOGIES (INDIA) PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",28-04-09,Tripura,RoC-Shillong,Business Services,"24, KALYANI LANE-5 SUB DIV.- SADAR AGARTALA Tripura INDIA 799004",Indian Non-Government Company
U75120TR2009SGC008263,TRIPURA TOURISM DEVELOPMENT CORPORATION LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000,000.00","2,000,000.00",03-06-09,Tripura,RoC-Shillong,"Community, personal & Social Services",SETH MAHAL PALACE COMPOUND AGARTALA Tripura INDIA 799001,State Government Company
U80301TR2009PTC008262,WAYMARK EDUCATION SOLUTIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","100,000.00",06-05-09,Tripura,RoC-Shillong,"Community, personal & Social Services",PRATIKSHA APARTMENT KUNJABAN PO ABHAYNAGAR AGARTALA Tripura INDIA 799005,Indian Non-Government Company
U74140TR2009PTC008264,RAJ TAX & INDUSTRIAL CONSULTANCY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",16-06-09,Tripura,RoC-Shillong,Business Services,"OVERSEAS MARKET, 1ST FLOOR, ROOM NO. 31, H.G.B. ROAD, AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U45400TR2009PTC008268,AGARTALA CONSTRUCTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","2,986,000.00",31-07-09,Tripura,RoC-Shillong,Construction,"C/O LAXMI IRON STORES 22, AKHAURA ROAD AGARTALA Tripura INDIA 799001",Indian Non-Government Company
