CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U65929MN1989PTC003219,MANIPUR PROGRESSIVE FINANCE AND INVESTMENT COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",09-03-89,Manipur,RoC-Shillong,Finance,TANGKHUL AVENUECHINGMEIRONG IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65929MN1989PTC003228,KANGLEIPAK ECONOMIC AND FINANCIAL COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","250,000.00",27-03-89,Manipur,RoC-Shillong,Finance,KONGBA BAZARIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U51909MN1989PTC003233,S AMRIK SINGH KARTAR SINGH AND COMPANY PVT LTD,ACTIVE,Private,Company Limited by Shares,"4,000,000.00","2,703,300.00",29-03-89,Manipur,RoC-Shillong,Trading,THANGAL BAZARIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U70101MN1989PTC003263,KANGLEIPAK ENGINEERING WORKS COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","200,000.00",24-04-89,Manipur,RoC-Shillong,Real Estate and Renting,KHAGEMPALLI PANKHA P OIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U01132MN1989PTC003280,JOY PLANTATION PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","14,400.00",11-05-89,Manipur,RoC-Shillong,Agriculture and Allied Activities,SANGEIBROW AIR PORT ROADIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65929MN1989PTC003285,MANIPUR FRANC FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"250,000.00","3,000.00",01-06-89,Manipur,RoC-Shillong,Finance,SINGJAMEI SOUGRAKPAM LEIKAIIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U18101MN1989PTC003286,A.K.HANDLOOM INDUSTRIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","1,297,200.00",02-06-89,Manipur,RoC-Shillong,Manufacturing (Textiles),THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U27106MN1989PTC003292,NORTH EAST INDIA SELF EMPLOYMENT CONSULTANT COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","9,000.00",02-06-89,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",MANIPUR Manipur INDIA,Indian Non-Government Company
U65929MN1989PLC003297,MANIPUR BUSINESS AND COMMERCIAL DEVELOPMENT LTD,STRIKE OFF,Public,Company Limited by Shares,"1,000,000.00","26,000.00",12-06-89,Manipur,RoC-Shillong,Finance,"THANGAL BAZAR, IMPHAL Manipur INDIA",Indian Non-Government Company
U65921MN1989PTC003307,J.D.HIRE PURCHASE AND FIANANCE COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"7,000,000.00","900,000.00",26-06-89,Manipur,RoC-Shillong,Finance,MAHATMA GANDHI AVENUEIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U24232MN1989PLC003315,MANIPUR STATE DRUGS AND PHARMACEUTICALS LIMITED,DORMANT,Public,Company Limited by Shares,"20,000,000.00","8,500,000.00",18-07-89,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","IMPHAL, DIMAPUR ROAD, NILKUNTHI, IMPHAL Manipur INDIA",Indian Non-Government Company
U55101MN1989PLC003367,HOTEL PINTU PVT. LTD.,STRIKE OFF,Public,Company Limited by Shares,"4,000,000.00","70,000.00",03-11-89,Manipur,RoC-Shillong,Trading,"A.T.LINE(NEAR ASHA CINEMA HALLIMPHAL,MANIPUR. Manipur INDIA",Indian Non-Government Company
