CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45201JK1999PTC001965,CHOWDHARY SUBHASH BUILDERS AND COLONISERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","610,000.00",16-04-99,Jammu and Kashmir,RoC-Jammu,Construction,"JK CHANNEL BUILDING, PLOT NO.53 INDUSTRIAL ESTATE, DIGIANA, JAMMU JAMMU Jammu and Kashmir INDIA 180010",Indian Non-Government Company
U72200JK1999PTC001964,ANTRIKSH TECHNOLOGIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",16-04-99,Jammu and Kashmir,RoC-Jammu,Business Services,"35 B/B, GANDHI NAGAR,JAMMU (J&K). JAMMU AND KASHMIR Jammu and Kashmir INDIA 180004",Indian Non-Government Company
U15531JK1999PTC001963,PARGAL CONFECTIONERY AND SNACKS INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,900,000.00","3,900,000.00",09-04-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Food stuffs),"PLOT NO.6,IIND PHASE,OPP.SICOPOFFICE, GANGYAL JAMMU (J&K). JAMMU AND KASHMIR Jammu and Kashmir INDIA 180010",Indian Non-Government Company
U72200JK1999PTC001961,ADP COMPUTERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",05-04-99,Jammu and Kashmir,RoC-Jammu,Business Services,"POST OFFICE BUILDING,BARI BRAHMANA, JAMMU. JAMMU AND KASHMIR Jammu and Kashmir INDIA 180012",Indian Non-Government Company
U15311JK1999PTC001958,JAI GOPAL RICE AND FLOUR MILLS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","2,500,000.00",30-03-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Food stuffs),GAJANSOO JAMMU Jammu and Kashmir INDIA 181206,Indian Non-Government Company
U15142JK1999PTC001956,HABIB VANASPATI PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","102,000.00",24-03-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Food stuffs),"SAMANDAR BAGH, S.P, COLLEGE ROAD, SRINAGAR, KASHMIR KASHMIR Jammu and Kashmir INDIA 190001",Indian Non-Government Company
U51109JK1999PTC001955,SAHNI MARKETING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","100,000.00",17-03-99,Jammu and Kashmir,RoC-Jammu,Trading,"143 A/D, Gandhi Nagar, Jammu JAMMU AND KASHMIR Jammu and Kashmir INDIA 180004",Indian Non-Government Company
U15531JK1999PTC001954,DEVANS BEVERAGE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",16-03-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Food stuffs),"9, CANAL ROAD, JAMMU.J&K JAMMU AND KASHMIR Jammu and Kashmir INDIA 180002",Indian Non-Government Company
U74210JK1999PTC001953,NARSEHAIN ENGINEERS AND BUILDERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","140,000.00",16-03-99,Jammu and Kashmir,RoC-Jammu,Business Services,"294-A, Shastri Nagar, Jammu JAMMU AND KASHMIR Jammu and Kashmir INDIA",Indian Non-Government Company
U15543JK1999PTC001950,SHAHI CHESHMA MINERAL WATER COMPANY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"6,000,000.00","6,000,000.00",05-03-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Food stuffs),"Gole Market, Karan Nagar, Srinagar JAMMU AND KASHMIR Jammu and Kashmir INDIA 190001",Indian Non-Government Company
U26959JK1999PTC001945,WULLAR CEMENTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"6,000,000.00","6,000,000.00",19-02-99,Jammu and Kashmir,RoC-Jammu,"Manufacturing (Metals & Chemicals, and products thereof)","120-123, IID CENTRE, BATTALBALIAN, UDHAMPUR UDHAMPUR Jammu and Kashmir INDIA 182101",Indian Non-Government Company
U35912JK1999PTC001934,SURAJ MOTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","2,500,000.00",01-01-99,Jammu and Kashmir,RoC-Jammu,Manufacturing (Machinery & Equipments),SHARIKA BHAWANEXCHANGE ROAD SRINAGAR JAMMU AND KASHMIR Jammu and Kashmir INDIA 190001,Indian Non-Government Company
U18101JK1998PTC001924,SHIVALIK TREADS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",08-12-98,Jammu and Kashmir,RoC-Jammu,Manufacturing (Textiles),"3,GENERAL BUS STAND, JAMMUCHANNI RAMA NARWAL BY PASS NHIA JAMMU AND KASHMIR Jammu and Kashmir INDIA",Indian Non-Government Company
