CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U72300UR2011PTC033686,CELIA INFOTECH SOFTWARE SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",11-10-11,Uttarakhand,RoC-Uttarakhand,Business Services,"H.NO. Q39, III RD PHASE SHIVALIK NAGAR BHEL RANIPUR HARIDWAR Uttarakhand INDIA 249403",Indian Non-Government Company
U52100UR2011PTC033670,HARSH SALESMART PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",23-09-11,Uttarakhand,RoC-Uttarakhand,Trading,"BLOCK II, NADI RISPANA DEHRADHUN Uttarakhand INDIA 248001",Indian Non-Government Company
U01403UR2011PTC033678,RAJSHREE MILK PRODUCTS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",03-10-11,Uttarakhand,RoC-Uttarakhand,Agriculture and Allied Activities,VILLAGE SHIMLA PISTOR MALSA ROAD. PO LALPUR. KICHHA Uttarakhand INDIA 263148,Indian Non-Government Company
U70200UR2011PTC033682,PRIYA TECHNOBUILD PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",07-10-11,Uttarakhand,RoC-Uttarakhand,Real Estate and Renting,"2nd Floor, Chamunda Complex Ram Nagar Road, Kashipur Uttarakhand INDIA 244713",Indian Non-Government Company
U74120UR2011PTC033681,ARTISTIC CREATIVE TOUCH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",05-10-11,Uttarakhand,RoC-Uttarakhand,Business Services,"YOG ANUSANDHAN KENDRA HARIPUR KALAN, RAIWALA DEHRADUN Uttarakhand INDIA 249205",Indian Non-Government Company
U74120UR2011PTC033703,MANTHAN MEDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",31-10-11,Uttarakhand,RoC-Uttarakhand,Business Services,"OFF-9, 1ST FLOOR HARSHIT COMPLEX ROORKEE Uttarakhand INDIA 247667",Indian Non-Government Company
U30005UR2011PTC033674,INFINITUM BUSINESS SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",27-09-11,Uttarakhand,RoC-Uttarakhand,Manufacturing (Machinery & Equipments),H.NO. 56 MOHALLA OJHAN KASHIPUR Uttarakhand INDIA 244713,Indian Non-Government Company
U74999UR2011PTC000007,MANTRA MUSIC & FILMS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",22-11-11,Uttarakhand,RoC-Uttarakhand,Business Services,23 OM VIHAR AJABPUR KALAN DEHRADUN Uttarakhand INDIA 248001,Indian Non-Government Company
U33100UR2011PTC000010,REMANDISH PHARMA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",22-11-11,Uttarakhand,RoC-Uttarakhand,Manufacturing (Machinery & Equipments),29 Krishan Nagar Kaulagarh Road Dehradun Uttarakhand INDIA 248001,Indian Non-Government Company
U74999UR2011PTC033697,SEVEN VOYAGES CONSULTANTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",21-10-11,Uttarakhand,RoC-Uttarakhand,Business Services,Johri Gaon Garhi Cantt Dehradun Uttarakhand INDIA 248001,Indian Non-Government Company
