CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20211AS1993PTC004038,NORTH CACHAR VENEER MILLS PVT. LTD.,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","4,000.00",08-12-93,Assam,RoC-Shillong,Manufacturing (Wood Products),"CHANDRAPUR NAGAR,P.O. KALACHAND, DIST. N.C. HILLS, ASSAM. Assam INDIA",Indian Non-Government Company
U65929AS1993PLC004039,TRUVEST FINANCE LIMITED,STRIKE OFF,Public,Company Limited by Shares,"2,000,000.00","495,000.00",09-12-93,Assam,RoC-Shillong,Finance,INDU BHAWAN M G ROAD JORHAT Assam INDIA 785001,Indian Non-Government Company
U15491AS1993PTC004040,GREEN FIELD TEA COMPANY PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","4,990,000.00",10-12-93,Assam,RoC-Shillong,Manufacturing (Food stuffs),BORBIL NO 11 DIGBOI Assam INDIA 786171,Indian Non-Government Company
U65993AS1993PTC004044,RATNAJYOTI FINANCE AND TRADING PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","53,500.00",15-12-93,Assam,RoC-Shillong,Finance,RABINDRA PALLYHAIBORGAON NAGAON ASSAM Assam INDIA 782001,Indian Non-Government Company
U27101AS1993PTC004045,ARROW ALLOYS PVT LTD,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","20,000,000.00",16-12-93,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",LOHIA HOUSE 2 ND FLOOR M G ROAD FANCY BAZAR GUWAHATI Assam INDIA 781001,Indian Non-Government Company
U74210AS1993PTC004047,ANANDA INFOCOM PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,500,000.00","1,250,000.00",17-12-93,Assam,RoC-Shillong,Business Services,"17, RISHIKESH, VINAYAK PATH LAKHIMINAGAR, HATIGAON GUWAHATI Assam INDIA 781006",Indian Non-Government Company
U80101AS1993PTC004049,SHANGRILA QUEST PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",23-12-93,Assam,RoC-Shillong,"Community, personal & Social Services",CHANDMARIGUWAHATI ASSAM Assam INDIA 781003,Indian Non-Government Company
U65993AS1993PTC004050,TARURAJ FINANCE AND INVESTMENT COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","15,000.00",31-12-93,Assam,RoC-Shillong,Finance,SOUTH BAZAR ROADKOKRAJHAR ASSAM Assam INDIA,Indian Non-Government Company
L24111AS1994PLC004051,PREMIER CRYOGENICS LIMITED,ACTIVE,Public,Company Limited by Shares,"60,000,000.00","49,239,000.00",06-01-94,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",MANIRAM DEWAN ROAD CHANDMARI GUWAHATI Assam INDIA 781003,Indian Non-Government Company
U15209AS1994PLC004052,GOVINDA DAIRY LTD,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00","7,000.00",06-01-94,Assam,RoC-Shillong,Manufacturing (Food stuffs),D M LOHIA ROADTINSUKIA ASSAM Assam INDIA 786125,Indian Non-Government Company
U45209AS1994PTC004056,MADHUBAN GLOBAL HOUSING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","930,000.00",07-01-94,Assam,RoC-Shillong,Construction,SONI RAMBORA ROADNEAR BORA SRVICE ULUBARI GUWAHATI ASSAM Assam INDIA 781007,Indian Non-Government Company
U67120AS1994PTC004057,ABHISHEK INVESTMENTS INDIA PVT LTD,ACTIVE,Private,Company Limited by Shares,"7,500,000.00","6,810,000.00",07-01-94,Assam,RoC-Shillong,Finance,"1ST FLOOR, STEEL INDIA COMPLEX, S. J. ROAD ATHGAON GUWAHATI Assam INDIA 781001",Indian Non-Government Company
U65922AS1994PTC004058,CENTURY TEA COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","3,000.00",14-01-94,Assam,RoC-Shillong,Finance,DUGAR BHAWAN H B ROADGUWAHATI DIST KAMRUP ASSAM Assam INDIA,Indian Non-Government Company
U72100AS1994PLC004059,USHA POWER CO LTD,STRIKE OFF,Public,Company Limited by Shares,"1,000,000.00","7,000.00",18-01-94,Assam,RoC-Shillong,Business Services,"AMELYA BHAWAN, P B ROAD, REHABARI GUWAHATI Assam INDIA",Indian Non-Government Company
