CIN,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,ROC,DESCRIPTION,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U55101PY2001PTC002822,JOY'S THE BEACH RESORT PRIVATE LIMITED,ACTIVE,PRIV,CLSH,42500000,40400000,12-11-01,Pondicherry,RoC-Pondicherry,Trading,No 3 Lake View Road Pudukuppam Nallavadu Post Puducherry Pondicherry INDIA 605007,Indian Non-Government Company
U72900PY1996PTC002941,EATON POWER QUALITY PRIVATE LIMITED,ACTIVE,PRIV,CLSH,130000000,128500010,03-01-96,Pondicherry,RoC-Pondicherry,Business Services,"No.2, EVR Street, Sedarapet Pondicherry Pondicherry INDIA 605111",Indian Non-Government Company
U15499PY1986PLC002550,VENKATRAMANA FOOD SPECIALITIES LIMITED,ACTIVE,PUBC,CLSH,115394000,115195925,19-08-86,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"NO.7, MSI AREA, PIPDIC INDUSTRIAL ESTATE, 24TH CROSS, METTUPALAYAM Pondicherry INDIA 605009",Indian Non-Government Company
U72400PY2002PTC002843,RAP TECHNOLOGIES PRIVATE LIMITED,ACTIVE,PRIV,CLSH,1000000,523860,20-05-02,Pondicherry,RoC-Pondicherry,Business Services,"7 & 8, CITIZEN AVENUE, 4TH MAIN ROAD MAHAVEER NAGAR, LAWSPET PUDUCHERRY Pondicherry INDIA 605008",Indian Non-Government Company
U29199PY1983PLC002224,MAILAM INDIA LIMITED,ACTIVE,PUBC,CLSH,100000000,25921500,04-12-83,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),MAILAM MAIN ROAD SEDARAPET PUDUCHERRY Pondicherry INDIA 605111,Indian Non-Government Company
L51909PY1919PLC002537,MARSHALL SONS AND CO INDIA LTD,ACTIVE,PUBC,CLSH,20000000,9073100,27-10-19,Pondicherry,RoC-Pondicherry,Trading,"24, Rue-Debassyns, De-Richmond Pondicherry Pondicherry INDIA 605001",Indian Non-Government Company
U74899PY2005PTC002945,EATON ELECTRIC PRIVATE LIMITED,ACTIVE,PRIV,CLSH,40000000,40000000,17-11-05,Pondicherry,RoC-Pondicherry,Business Services,"No.2, EVR Street, Sedarapet Pondicherry Pondicherry INDIA 605111",Indian Non-Government Company
U51909PY1930PLC000002,ETABLISSEMENT TEXTILE DE MODELIARPETH LIMITED,ACTIVE,PUBC,CLSH,600000,600000,02-11-30,Pondicherry,RoC-Pondicherry,Trading,"91, 5TH STREET, KUMARAN NAGAR, LAWSPET POST, PONDICHERRY. Pondicherry INDIA 605008",Indian Non-Government Company
U74999PY1951PLC000007,BEST AND CO (PONDY) LTD,STRIKE OFF,PUBC,CLSH,400000,0,19-02-51,Pondicherry,RoC-Pondicherry,Business Services,"ANGLO FRENCH TEXTILES LTD MILL PREMISES AT MUDALIARPET, PONDICHERRY-4 Pondicherry INDIA",Indian Non-Government Company
U15425PY1957PLC000021,NEW HORIZON SUGAR MILLS LTD,DORMANT,PUBC,CLSH,36000000,26299000,01-11-57,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),SACRUR (ARIYUR) P.O. 605 102KANDAMANGALAM PONDICHERRY. PONDICHERRY 605 102. Pondicherry INDIA 605102,Indian Non-Government Company
U17121PY1958PTC000029,CAUVERY TEXTILES PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,21-03-58,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),Pondicherry Pondicherry INDIA,Indian Non-Government Company
U60231PY1960PTC000040,PONDY TRANSPORT CO PVT LTD,STRIKE OFF,PRIV,CLSH,200000,0,01-04-60,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications","90/3, CHINNASABBOVAYA, PILLAST., PONDICHERRY-4. pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1960PTC000044,MANORANJAN GANGULI AND SONS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,NA,27-06-60,Pondicherry,RoC-Pondicherry,NA,"CUDDALORE ROAD, MURUNGAMPAKKAMPONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U17120PY1960PTC000045,PONDICHERRY TEXTILES PVT LTD,STRIKE OFF,PRIV,CLSH,100000,0,09-07-60,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),pondicherry Pondicherry INDIA,Indian Non-Government Company
U74999PY1961PTC000047,HINDOCHA BROTHERS PVT LTD,ACTIVE,PRIV,CLSH,2500000,100000,29-05-61,Pondicherry,RoC-Pondicherry,Business Services,25 RUE FRANCOIS MARTINP O BOX NO.85 PONDICHERRY 1 PONDICHERRY 1 Pondicherry INDIA 605001,Indian Non-Government Company
U60231PY1961PTC000048,KARIKAL TRANSPORTS PVT LTD,STRIKE OFF,PRIV,CLSH,99000,0,24-08-61,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications",Pondicherry Pondicherry INDIA,Indian Non-Government Company
U31909PY1963PTC000069,AUROVILLE ELECTRONICS AND ALLIED INDUSTIRES PVT LTD,STRIKE OFF,PRIV,CLSH,20000000,100000,15-06-63,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),24 RUE FRANCOIS MARTINPONDICHERRY 605 001 PONDICHERRY-605 001 Pondicherry INDIA 605001,Indian Non-Government Company
U65992PY1964PTC000075,KARUNYAMURTHI CHIT FUND PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,09-05-64,Pondicherry,RoC-Pondicherry,Finance,108 BHARATHI st. Pondicherry INDIA,Indian Non-Government Company
U74999PY1952PLC000080,SRI AUROBINDO BOOK DISTRIBUTION AGENCY LTD,STRIKE OFF,PUBC,CLAG,500000,0,01-02-52,Pondicherry,RoC-Pondicherry,Business Services,3 RUE DE LA CASERNEPONDICHERRY 1 Pondicherry INDIA,Indian Non-Government Company
U65992PY1965PTC000082,CHOCKANATHAN CHIT FUND AND FINANCE PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,24-04-65,Pondicherry,RoC-Pondicherry,Finance,"3/19 MARIAMMAN KOIL STREETSARAM, PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
U24232PY1966PTC000087,ALMIS PHARMA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,200000,42000,16-06-66,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","A/533, STATION ROAD, MAHE,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U15511PY1966PTC000088,VIVA BREWERIES PVT LTD,STRIKE OFF,PRIV,CLSH,2000000,100000,25-08-66,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"21, RUE DUMAS,PONDICHERRY 605 001. PONDICHERRY 605 001. Pondicherry INDIA 605001",Indian Non-Government Company
U99999PY1966PTC000089,SOUTH ARCOT ELECTRICAL AND CERAMICS PVT.LTD.,STRIKE OFF,PRIV,CLSH,400000,NA,24-10-66,Pondicherry,RoC-Pondicherry,NA,"INDUSTRIAL ESTATE,THATTANCHAVADI, PONDICHERRY-6 Pondicherry INDIA",Indian Non-Government Company
U65100PY1968PTC000098,VALLUVAR SEMIPPU PANNAI PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,20000,3900,15-04-68,Pondicherry,RoC-Pondicherry,Finance,"72, MAMATHEMLEE MARICAN STREET, KARAIKAL. Pondicherry INDIA",Indian Non-Government Company
U65992PY1969PTC000101,SELVA MURUGAN CHIT FUND PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,50000,7500,02-03-69,Pondicherry,RoC-Pondicherry,Finance,"26/1, DEITHA VEETHI, KARAIKAL,PONDICHERRY. Pondicherry INDIA",Indian Non-Government Company
U65992PY1970PTC000104,SRI SARATHI CHIT FUND AND FINANCE PVT LTD,STRIKE OFF,PRIV,CLSH,30000,0,13-03-70,Pondicherry,RoC-Pondicherry,Finance,"59, AMBALA THADIAR, MADAMSTREET, PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1970PTC000106,PONDY FOAM PVT.LTD.,STRIKE OFF,PRIV,CLSH,400000,0,07-01-70,Pondicherry,RoC-Pondicherry,NA,"A3 & 4, INDUSTRIAL ESTATE,THATTACHAVADO PONDICHERRY. Pondicherry INDIA",Indian Non-Government Company
U65992PY1970PTC000107,VELMURUGAN CHIT FUND AND FINANCE PVT LTD,STRIKE OFF,PRIV,CLSH,25000,0,17-07-70,Pondicherry,RoC-Pondicherry,Finance,"PLOT NO.24, 2ND CROSS STREETSAMI PILLAI THOTTAM KARUVADI KUPPAM, PONDICHERRY 8 pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1971PTC000109,SRI BALAJI SALT AND MARINE CHEMICAL INDUSTRIES PVT LTD,STRIKE OFF,PRIV,CLSH,300000,NA,02-12-71,Pondicherry,RoC-Pondicherry,NA,8-109 BEZWADA STREETYANAM [PONDICHERRY U.T] Pondicherry INDIA,Indian Non-Government Company
U65992PY1971PTC000110,MERRIT CHIT FUND PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,20000,4000,07-02-71,Pondicherry,RoC-Pondicherry,Finance,"7, THIRUMUNDI CHETTY ST.,KARAIKAL Pondicherry INDIA",Indian Non-Government Company
U15531PY1971PLC000111,PONDY BREWERY CO LTD,STRIKE OFF,PUBC,CLSH,4000000,0,07-08-71,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),pondicherry Pondicherry INDIA,Indian Non-Government Company
U15511PY1971SGC000113,PUDUCHERRY DISTILLERIES LIMITED,ACTIVE,PRIV,CLSH,90000000,84500000,12-08-71,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"R.S.NO. 144 &145,ARIYAPALAYAM,VILLIANUR, 605110. Pondicherry INDIA 605110",State Government Company
U99999PY1972PTC000114,EAST COAST CONDUCTORS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,04-10-72,Pondicherry,RoC-Pondicherry,NA,"73-B-3, 3RD CROSSVENKATA NAGAR PONDICHERRY 605 011 Pondicherry INDIA",Indian Non-Government Company
U36104PY1973PTC000119,COIRTEX PRIVATE LIMITED,ACTIVE,PRIV,CLSH,400000,144000,12-11-73,Pondicherry,RoC-Pondicherry,Manufacturing (Others),chalackara pallur Mahe Pondicherry INDIA,Indian Non-Government Company
U25201PY1974PTC000120,POLY INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,200000,200000,15-03-74,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","B-1, MANAPET INDUSTRIAL ESTATEKATTUKUPPAM BAHOUR PO 607 402 PONDICHERRY Pondicherry INDIA 607402",Indian Non-Government Company
U65923PY1974SGC000121,PONDICHERRY INDUSTRIAL PROMOTION DEVELOPMENT AND INVT.CORPN.LTD.,ACTIVE,PRIV,CLSH,450000000,404020500,17-04-74,Pondicherry,RoC-Pondicherry,Finance,NO.60 ROMAIN ROLLAND STREETPONDICHERRY-605001 PONDICHERRY Pondicherry INDIA 605001,State Government Company
U15142PY1974PTC000123,"COMMERCE, UNDER SRI AUROBINDO'S GUIDENCE PVT LTD",DORMANT,PRIV,CLSH,500000,120000,10-01-74,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),8-A SURCOUF STREETPONDICHERRY PONDICHERRY Pondicherry INDIA 605002,Indian Non-Government Company
U65992PY1974PTC000124,ARUMUGAM CHIT FUND AND FINANCE PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,15000,11-11-74,Pondicherry,RoC-Pondicherry,Finance,"15-D, SINNASUBBARAYA PILLAIST., PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
L21012PY1974PLC000125,THE PONDICHERRY PAPERS LTD,ACTIVE,PUBC,CLSH,50000000,49150000,11-11-74,Pondicherry,RoC-Pondicherry,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO.2, III CROSS,SHANTHI NAGAR, PONDICHERRY 605 011. PONDICHERRY 605 013 Pondicherry INDIA 605013",Indian Non-Government Company
U74900PY1974PTC000126,AUMMAG PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,0,15-11-74,Pondicherry,RoC-Pondicherry,Business Services,"25, RUE FRANCOIS, MARTIN,PONDICHERRY. pondicherry Pondicherry INDIA",Indian Non-Government Company
U15499PY1975PTC000130,FLAVORS INDIA PVT LTD,ACTIVE,PRIV,CLSH,3000000,2000000,26-05-75,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"C5 & 14 INDUSTRIL ESTATE, METTUPALAYAM PONDICHERRY Pondicherry INDIA 605009",Indian Non-Government Company
U74900PY1975PTC000131,TRIKONA INDUSTRIALS PVT LTD,STRIKE OFF,PRIV,CLSH,250000,0,22-07-75,Pondicherry,RoC-Pondicherry,Business Services,pondicherry Pondicherry INDIA,Indian Non-Government Company
U74999PY1975PTC000132,MOTHERS COMMERCE CO PRIVATE LIMITED,ACTIVE,PRIV,CLSH,750000,500000,08-12-75,Pondicherry,RoC-Pondicherry,Business Services,1st Floor Montorsier Street Pondicherry Pondicherry INDIA 605001,Indian Non-Government Company
U24100PY1975PLC000133,STEARATES AND CHEMICALS(INDIA)LTD,STRIKE OFF,PUBC,CLSH,500000,0,09-03-75,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","126,MUTHU MARIAMMAN KOVIL ST. PONDICHERRY - 605 001. pondicherry Pondicherry INDIA",Indian Non-Government Company
U24222PY1975PLC000135,THE GANGA VARNISHES AND CHEMICAL INDUSTRIES LIMITED,ACTIVE,PUBC,CLSH,6000000,5999740,22-12-75,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","NO.3, THIRUMOOLAR NAGAR, DR. AMBEDKAR ROAD, MUDALIARPET PONDICHERRY Pondicherry INDIA 605004",Indian Non-Government Company
U74900PY1976PLC000137,SOUTH INDIA OIL COMPLEX LTD,STRIKE OFF,PUBC,CLSH,2000000,0,17-02-76,Pondicherry,RoC-Pondicherry,Business Services,"HOUSE NO.B/S, 252, WARD NO.6,CHALAKKAR MAHE PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1976PTC000138,TECHNO CHEM PRODUCTS PVT LTD,STRIKE OFF,PRIV,CLSH,200000,NA,23-04-76,Pondicherry,RoC-Pondicherry,NA,"47, NIDARAJAPAYER STREET,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1976PTC000142,LINDANE (PONDY) PVT LTD,STRIKE OFF,PRIV,CLSH,200000,NA,28-10-76,Pondicherry,RoC-Pondicherry,NA,108-9/B INDUSTRIAL ESSTATEKIRUMAMBAKKAM PONDICHERRY Pondicherry INDIA,Indian Non-Government Company
U99999PY1977PTC000143,MALOLAN CHEMICALS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,01-05-77,Pondicherry,RoC-Pondicherry,NA,"25, EZAI MARIAMMAN KAIL STREET, MUTHIALPET PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U24299PY1977PTC000144,MIRA CHEM PVT LTD,ACTIVE,PRIV,CLSH,200000,100000,30-04-77,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","VIJAYA, 10, AMBALATHADAYER,MADAM STREET PONDICHERRY MADAM STREET, PONDICHERRY Pondicherry INDIA 605001",Indian Non-Government Company
U74900PY1977PTC000146,KALEPAL PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,400000,0,10-01-77,Pondicherry,RoC-Pondicherry,Business Services,"7, BELCOMBE STREET,PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
U15143PY1978PTC000151,PONDICHERRY EXTRACTION INDUSTRIES PVT.LTD.,ACTIVE,PRIV,CLSH,3000000,1741800,21-01-78,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"J. K. TOWERS FIRST FLOOR, 100 FEET ROAD PONDICHERRY Pondicherry INDIA 605013",Indian Non-Government Company
U34102PY1978PTC000152,M.O.HASAN KUTHOOS MARICAR PRIVATE LIMITED,ACTIVE,PRIV,CLSH,2500000,2450000,05-06-78,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),"NO : 38, JAWAHARLAL NEHRU STREET KARAIKAL Pondicherry INDIA 609602",Indian Non-Government Company
U13203PY1978PTC000153,TRIVENI METALS AND ALLOYS PVT LTD,DISSOLVED,PRIV,CLSH,2500000,2300000,06-01-78,Pondicherry,RoC-Pondicherry,Mining & Quarrying,"NO.1, UPPALAM ROADPONDICHERRY 1 Pondicherry INDIA",Indian Non-Government Company
U50401PY1978PTC000154,CRYSTAL TRANSPORT PRIVATE LIMITED,ACTIVE,PRIV,CLSH,300000,105000,06-08-78,Pondicherry,RoC-Pondicherry,Trading,"38,JAWAHARLAL NERHU STREETKARAIKAL PONDICHERRY PONDICHERRY Pondicherry INDIA 609602",Indian Non-Government Company
U74900PY1978PTC000155,EVERGREEN TUBEWELL SERVICES PVT LTD,DORMANT,PRIV,CLSH,500000,225000,06-08-78,Pondicherry,RoC-Pondicherry,Business Services,PONDICHERRY Pondicherry INDIA 605001,Indian Non-Government Company
U99999PY1978PTC000156,S S THIRUPATHI NADAR AND CO DETERGENTS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,06-12-78,Pondicherry,RoC-Pondicherry,NA,"MANAPET ROAD, KANNIAKOILBAHORE COMMUNE PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U31909PY1978PTC000157,MATRI INSTRUMENTS AND CHEMICALS PVT LTD,ACTIVE,PRIV,CLSH,200000,100000,23-06-78,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),"B-3/B-4, INDUSTRIAL ESTATEMETTUPALAYAM PONDICHERRY 9 METTUPALAYAM, PONDICHERRY 9 Pondicherry INDIA 605009",Indian Non-Government Company
U99999PY1978PTC000158,BELL VUE HOTEL PVT LTD,STRIKE OFF,PRIV,CLSH,1500000,NA,26-06-78,Pondicherry,RoC-Pondicherry,NA,"15, SITHANKUDISAI, BRINDAVAN,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U15142PY1978PTC000159,LAXMI OIL MILLS PVT LTD,DORMANT,PRIV,CLSH,2000000,1800000,18-09-78,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),4-198 DRAKSHARAMA ROADYANAM 533 464 Pondicherry INDIA,Indian Non-Government Company
U65992PY1978PTC000160,STAR AGENCIES AND CHIT FUND PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,20000,200,10-06-78,Pondicherry,RoC-Pondicherry,Finance,"38, SOUNDIRAMBAL SANNATHISTREET, KARAIKAL PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1979PTC000161,KEMICOMPS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,02-07-79,Pondicherry,RoC-Pondicherry,NA,"51, VIVEKANANDA NAGAR,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1979PTC000162,PONDY CEMENTS PVT LTD,STRIKE OFF,PRIV,CLSH,1000000,NA,04-07-79,Pondicherry,RoC-Pondicherry,NA,6 SILAMBAGAM GRAMANI STREETPAKKAMUDAYAN PATTU PONDICHERRY 8 Pondicherry INDIA,Indian Non-Government Company
U74900PY1979PTC000163,XALCO PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,10000,0,05-04-79,Pondicherry,RoC-Pondicherry,Business Services,"PIPDIC INDUSTRIAL ESTATE, PLOTNO.B-54, PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1979PTC000164,DARSHANA FOAMS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,06-07-79,Pondicherry,RoC-Pondicherry,NA,"3-B, JAWAHARLAL NEHRU ST.,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U93000PY1979PTC000165,THE PONDICHERRY CREDIT AND INVESTMENT CO PVT LTD,DORMANT,PRIV,CLSH,1000000,254000,23-07-79,Pondicherry,RoC-Pondicherry,"Community, personal & Social Services","266/268 M.G ROAD, I FLOORPONDICHERRY 1 Pondicherry INDIA",Indian Non-Government Company
U99999PY1979PTC000166,PONDY STEELS PVT LTD,STRIKE OFF,PRIV,CLSH,200000,NA,27-07-79,Pondicherry,RoC-Pondicherry,NA,1 KARUNANIDHI STREETKUYAVARPALAYAM PONDICHERRY Pondicherry INDIA,Indian Non-Government Company
U99999PY1979PTC000167,QUADHIRIOFA CHEMICAL PROCESS PVT LTD,STRIKE OFF,PRIV,CLSH,400000,NA,09-12-79,Pondicherry,RoC-Pondicherry,NA,2/8 RANGA PILLAI STREETPONDICHERRY 1 Pondicherry INDIA,Indian Non-Government Company
U74930PY1980PLC000169,JAYABHARATHAM CHAKKAPPAN CEMENTS LTD,STRIKE OFF,PUBC,CLSH,10000000,0,01-04-80,Pondicherry,RoC-Pondicherry,Business Services,77 KOTTUPALAYAMPONDICHERRY 8 Pondicherry INDIA,Indian Non-Government Company
U99999PY1980PTC000170,ANBU PULP PRODUCTS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,0,08-12-80,Pondicherry,RoC-Pondicherry,NA,"19, LOUIS VILLE,MUTHIALPET, PONDICHERRY - 506 003. Pondicherry INDIA",Indian Non-Government Company
U24119PY1980PTC000171,PRANTIK INTERNATIONAL PVT LTD,ACTIVE,PRIV,CLSH,200000,100000,10-07-80,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)",10 AMBALATHADAYAR MADAM STREETPONDICHERRY 1 PONDICHERRY Pondicherry INDIA 605001,Indian Non-Government Company
U99999PY1980PTC000172,FERDOUS PAPER PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,10-09-80,Pondicherry,RoC-Pondicherry,NA,"C-5, 14 & 23 INDUSTRIAL ESTATEPONDICHERRY 10 PONDICHERRY -605 010 Pondicherry INDIA",Indian Non-Government Company
U99999PY1980PTC000174,VELAVAN SPINNING MILLS PVT LTD,STRIKE OFF,PRIV,CLSH,1000000,NA,12-09-80,Pondicherry,RoC-Pondicherry,NA,"44-A, AUROBINDO STREET,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1981PTC000176,LAKSHMI SARASWATHI SPINNING MILLS PVT LTD,STRIKE OFF,PRIV,CLSH,1000000,NA,19-02-81,Pondicherry,RoC-Pondicherry,NA,28-A SINNA SUBRAMANIYA PILLAISTREET PONDICHERRY Pondicherry INDIA,Indian Non-Government Company
U74999PY1981PTC000177,SRI NARAYANA PVT LTD,DORMANT,PRIV,CLSH,4500000,813000,03-05-81,Pondicherry,RoC-Pondicherry,Business Services,"27, EDAYAN CHAVADI ROAD,KARUVADIKUPPAM, PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U24117PY1981PTC000178,RAM INTERNATIONAL HOTELS PVT LTD,ACTIVE,PRIV,CLSH,4000000,2700000,20-03-81,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)",185 CALVE SUBBARAYA CHETTY STRPONDICHERRY PONDICHERRY Pondicherry INDIA 605001,Indian Non-Government Company
U74900PY1981PTC000179,KEMS PRIVATE LIMITED,DORMANT,PRIV,CLSH,2000000,447000,04-07-81,Pondicherry,RoC-Pondicherry,Business Services,"C-40, INDUSTRIAL ESTATEMETTUPALAYAM, PONDICHERRY 9 pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1981PTC000180,STANTAINS PVT LTD,STRIKE OFF,PRIV,CLSH,1000000,NA,18-04-81,Pondicherry,RoC-Pondicherry,NA,"NO 144, IV CROSS ROAD,VENKATANAGAR, PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1981PTC000182,KOVAN HOSES PVT LTD,STRIKE OFF,PRIV,CLSH,300000,NA,17-09-81,Pondicherry,RoC-Pondicherry,NA,"POOVAN MAN ROAD, KARAIKAL,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U99999PY1981PTC000183,SHARDA ELECTRICAL INDUSTIRES PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,21-10-81,Pondicherry,RoC-Pondicherry,NA,"31-A, CHETTY STREETPONDICHERRY 1 Pondicherry INDIA",Indian Non-Government Company
U74900PY1981PTC000184,HAIKU POLY INDUSTRIES PVT LTD,STRIKE OFF,PRIV,CLSH,200000,0,11-05-81,Pondicherry,RoC-Pondicherry,Business Services,pondicherry Pondicherry INDIA,Indian Non-Government Company
U65993PY1981PTC000186,M A PATEL AND SONS PVT.LTD.,ACTIVE,PRIV,CLSH,100000,100000,16-12-81,Pondicherry,RoC-Pondicherry,Finance,2 ST LAURENT BAZAR STREETPONDICHERRY PONDICHERRY Pondicherry INDIA 605001,Indian Non-Government Company
U26914PY1982PTC000187,UNITED TILES AND CERAMICS PVT LTD,DORMANT,PRIV,CLSH,500000,30000,01-06-82,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","154, 4TH CROSS ROADVENKATA NAGAR PONDICHERRY PONDICHERRY Pondicherry INDIA 605011",Indian Non-Government Company
U21015PY1982PTC000188,PONDICHERRY STRAW BOARD MILLS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,3000000,2488500,28-01-82,Pondicherry,RoC-Pondicherry,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",NEAR NALLA TANKYANAM 533 464 YANAM 533 464 Pondicherry INDIA 533464,Indian Non-Government Company
U55101PY1982PTC000189,HOTEL SAKTTHI GURU PRIVATE LIMITED,DORMANT,PRIV,CLSH,500000,325000,02-01-82,Pondicherry,RoC-Pondicherry,Trading,23 & 24 BRINDAVAN COLONYPONDICHERRY 13 PONDICHERRY 13 Pondicherry INDIA 605013,Indian Non-Government Company
U24239PY1982PTC000190,CURRENT FORMULATIONS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,800000,800000,19-02-82,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","B-3, INDUSTRIAL ESTATE,THATTACHAVADI, PONDICHERRY THATTACHAVADI, PONDICHERRY Pondicherry INDIA 605009",Indian Non-Government Company
U24100PY1982PTC000191,OM SAKTHI CHEMICALS PVT LTD,DORMANT,PRIV,CLSH,600000,383000,03-08-82,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)",115/3 VARKALODAIPET ROADMANAPET 607 402 PONDICHERRY Pondicherry INDIA,Indian Non-Government Company
U21014PY1982PLC000192,YANAM PAPERS LTD,STRIKE OFF,PUBC,CLSH,2000000,0,16-03-82,Pondicherry,RoC-Pondicherry,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)",BENAM GARDENNEAR NALLA TANK YANAM 533 464 pondicherry Pondicherry INDIA,Indian Non-Government Company
U55101PY1982PTC000194,HOTEL MASS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,42500000,32386000,30-10-82,Pondicherry,RoC-Pondicherry,Trading,"MARAIMALAI ADIGAL SALAIORLEANPET, PONDICHERRY 1 ORLEANPET, PONDICHERRY 1 Pondicherry INDIA 605001",Indian Non-Government Company
U74900PY1982PTC000195,MINI ENGINEERING ANCILLARY PRODUCTS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,0,25-05-82,Pondicherry,RoC-Pondicherry,Business Services,pondicherry Pondicherry INDIA,Indian Non-Government Company
U99999PY1982PTC000196,WIND WORDS PAPERS PVT LTD,STRIKE OFF,PRIV,CLSH,500000,NA,07-06-82,Pondicherry,RoC-Pondicherry,NA,"A-26, INDUSTRIAL ESTATEMETTUPALAYAM PONDICHERRY 9 Pondicherry INDIA",Indian Non-Government Company
