CIN,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,ROC,DESCRIPTION,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U15143PY1996PTC001234,MURALI AGRO EXPORTERS PRIVATE LIMITED,DORMANT,PRIV,CLSH,500000,500000,26-06-96,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"76,MADAGATIPATTU MAIN ROAD,KARIAMANIKAM NETTAPAKKAM POST-605106 NETTAPAKKAM POST-605106 Pondicherry INDIA 605106",Indian Non-Government Company
U99999PY1996PTC001235,J.D.R.ENERGY PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,0,07-01-96,Pondicherry,RoC-Pondicherry,NA,"6,II CROSS ST,ANNA NAGAR WESTPONDICHERRY-5 Pondicherry INDIA",Indian Non-Government Company
U99999PY1996PTC001236,BEST CHIT FUNDS (INDIA) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,10000000,0,07-01-96,Pondicherry,RoC-Pondicherry,NA,"25, ANNA SALAI,PONDICHERRY-1. Pondicherry INDIA",Indian Non-Government Company
U99999PY1996PTC001237,ROX INFOSYS (INDIA) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,0,07-04-96,Pondicherry,RoC-Pondicherry,NA,"234, ANNA SALAIPONDICHERRY 605 001 Pondicherry INDIA",Indian Non-Government Company
U72211PY1996PLC001238,SEPROS COMPUTERS LIMITED,DORMANT,PUBC,CLSH,500000,7000,07-10-96,Pondicherry,RoC-Pondicherry,Business Services,"BLOCK-1, WARD-H,100 FEET ROAD, PETER NAGAR, PONDICHERRY-605010. Pondicherry INDIA",Indian Non-Government Company
U65921PY1996PTC001240,PUDHUVAI GENERAL FINANCE PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,107000,18-07-96,Pondicherry,RoC-Pondicherry,Finance,"OLD NO.87, NEW NO.53,III CROSS ST., VENKATA NAGAR, PONDICHERRY-605011. PONDICHERRY-605011. Pondicherry INDIA 605001",Indian Non-Government Company
U74999PY1996PTC001241,SHREE SAIJI EXPORTS PRIVATE LIMITED,DORMANT,PRIV,CLSH,175000,175000,26-07-96,Pondicherry,RoC-Pondicherry,Business Services,"38, ROMAIN ROLLAND STREET,PONDICHERRY-1. Pondicherry INDIA",Indian Non-Government Company
U72900PY1996PTC001242,ATLANS INFOTECH INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,2000000,0,08-01-96,Pondicherry,RoC-Pondicherry,Business Services,Pondicherry INDIA,Indian Non-Government Company
U99999PY1996PTC001243,ALCHEMY CADD INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,NA,19-08-96,Pondicherry,RoC-Pondicherry,NA,"NEW NO.109, CANTEEN STREET,PONDICHERRY-1. Pondicherry INDIA",Indian Non-Government Company
U24246PY1996PTC001244,ICON HOUSEHOLD PRODUCTS PRIVATE LIMITED,UNDER LIQUIDATION,PRIV,CLSH,70000000,70000000,21-08-96,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)",A-103 PIPDIC INDUSTRIAL ESTATE METTUPALAYA PONDICHERRY-605009. PONDICHERRY-605009. Pondicherry INDIA 605009,Indian Non-Government Company
U20299PY1996PTC001245,ARIES TRADERS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,730000,27-08-96,Pondicherry,RoC-Pondicherry,Manufacturing (Wood Products),173 CHURCH PRIVATE LIMITEDKARAIKAL PONDICHERRY 609602 PONDICHERRY 609602 Pondicherry INDIA 609602,Indian Non-Government Company
U99999PY1996PTC001246,ANABOND SEALANTS INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,NA,28-08-96,Pondicherry,RoC-Pondicherry,NA,"42,VELLALA STREET,PONDICHERRY-11 Pondicherry INDIA",Indian Non-Government Company
U99999PY1996PTC001247,FREE INDIA POLYMERS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,2000000,NA,28-08-96,Pondicherry,RoC-Pondicherry,NA,"VILLUPURAM ROAD,VILLIANUR POST,PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U72900PY1996PTC001248,INTERACTIVE INFO-TECH (PONDICHERRY) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,200000,0,28-08-96,Pondicherry,RoC-Pondicherry,Business Services,"77,VALLALAR HIGH ROAD,VENKATA NAGAR,PONDICHERRY-11 Pondicherry INDIA",Indian Non-Government Company
U65921PY1996PLC001249,SASTHA FINANCE COMPANY LIMITED,STRIKE OFF,PUBC,CLSH,100000,0,29-08-96,Pondicherry,RoC-Pondicherry,Finance,"NO.14, 8TH CROSS STREET,SUBBIAH NAGAR, PONDICHERRY-605001 Pondicherry INDIA",Indian Non-Government Company
U55201PY1996PTC001250,SEEKERS FARM HOUSE [PONDY] PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,0,29-08-96,Pondicherry,RoC-Pondicherry,Trading,"NO.9, MARIAMMAN KOIL ST.,VAZHAIKULAM, PONDICHERRY-605012. Pondicherry INDIA",Indian Non-Government Company
U17111PY1996PTC001251,KARAIKAL SPINNING MILLS PRIVATE LIMITED,DORMANT,PRIV,CLSH,15000000,10000000,29-08-96,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),"37, MAMA THAMBI MARICAR STREETKARAIKAL-609 602. Pondicherry INDIA",Indian Non-Government Company
U99999PY1996PTC001252,SEA WAY TECH(INDIA) PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,500000,0,29-08-96,Pondicherry,RoC-Pondicherry,NA,"9,PATTAKAL STREET,AMBAGARATHUR,KARAIKAL-609601 Pondicherry INDIA",Indian Non-Government Company
