CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U63040AR2002PTC006912,BLUE HILL TRAVELS (ARUNACHAL) PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",18-09-02,Arunachal Pradesh,RoC-Shillong,"Transport, storage and Communications",NAHARLAGUNP O & P S NAHARLAGUN DIST PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U45203AR2002PTC006924,UDAYACHAL ENGINEERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","450,000.00",10-10-02,Arunachal Pradesh,RoC-Shillong,Construction,C-SECTORARUNACHAL PRADESH ITANAGAR Arunachal Pradesh INDIA 791111,Indian Non-Government Company
U74140AR2002PTC006942,POSITIVE PROJECTS & CONSULTANTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","200,000.00",14-11-02,Arunachal Pradesh,RoC-Shillong,Business Services,DIST - PAPUMPARE NAHARLAGUN Arunachal Pradesh INDIA,Indian Non-Government Company
U45201AR2002PTC006984,EXERT CONSTRUCTIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","150,000.00",23-12-02,Arunachal Pradesh,RoC-Shillong,Construction,B SECTORVETY COMPOUND NAHARLAGUN ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U01132AR2002PTC006986,SHEDONG TEA COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","200,000.00",27-12-02,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,STELLWELLL ROADJAIRAMPUR CHANGLANG ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U51497AR2003PTC007003,NORTH EAST AGRO MARKETING & DEVELOPMENT PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",13-01-03,Arunachal Pradesh,RoC-Shillong,Trading,M S N T AGRO HOUSEBANK TINALI ITANAGAR Arunachal Pradesh INDIA,Indian Non-Government Company
U36102AR2003PTC007004,PINO STEELS WORTH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",16-01-03,Arunachal Pradesh,RoC-Shillong,Manufacturing (Others),INDUSTRIAL AREAA SECTOR NAHARLAGUN Arunachal Pradesh INDIA 791110,Indian Non-Government Company
U51909AR2003PTC007005,PLATINUM ENTERPRISES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",16-01-03,Arunachal Pradesh,RoC-Shillong,Trading,FIRST FLOORTAKKAR COMPLEX NAHARALA GUN ARUNCHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U45203AR2003PTC007006,DAWNLIT CONSTRUCTION COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",16-01-03,Arunachal Pradesh,RoC-Shillong,Construction,C O NIBA CLINICE SECTOR SHIV MANDIR ROAD ARUNACHAL PRADESH NAHARLAGUN Arunachal Pradesh INDIA 791110,Indian Non-Government Company
U27101AR2003PLC007016,SMS SMELTERS LIMITED,ACTIVE,Public,Company Limited by Shares,"162,000,000.00","153,499,990.00",28-01-03,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",LEKHI VILLAGE NAHARLAGUN NAHARLAGUN Arunachal Pradesh INDIA 791110,Indian Non-Government Company
U27101AR2003PTC007029,ITANAGAR FERRO ALLOYS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",14-02-03,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",NAHARLAGUNNEAR YOUTH HOSTEL ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U63040AR2003PTC007227,EAST POINT TOURS & TRAVELS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",06-10-03,Arunachal Pradesh,RoC-Shillong,"Transport, storage and Communications",E SECTORSHIV MANDIR ROAD ARUNACHAL PRADESH NAHARLAGUN Arunachal Pradesh INDIA 791110,Indian Non-Government Company
